Symptom,Disease,Advice,Medicine,Workout
Nausea,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Muscle relaxation
Weight Gain,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Rest for 2-3 days
Weight Loss,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Massage therapy
Increased Thirst,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Rest for 2-3 days
Headache,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Steam inhalation
Brittle Nails,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Strength training
Memory Loss,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Physiotherapy
Insomnia,Vitamin Deficiency,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Steam inhalation
Muscle Cramps,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Aerobic workouts
Muscle Cramps,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Yoga & meditation
Weight Loss,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Regular exercise
Vomiting,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Breathing exercises
Constipation,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Breathing exercises
Vomiting,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Light walking
Stomach Pain,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Strength training
Brittle Nails,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Steam inhalation
Headache,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Rest for 2-3 days
Weight Gain,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Breathing exercises
Fever,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Cardio exercises
Tingling Sensation,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Regular exercise
Insomnia,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Light stretching
Increased Thirst,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Steam inhalation
Frequent Urination,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Breathing exercises
Weight Loss,Anemia,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Aerobic workouts
Sore Throat,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Breathing exercises
Headache,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Eye exercises
High Blood Pressure,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Yoga & meditation
Night Sweats,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Light walking
Diarrhea,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Physiotherapy
Joint Pain,Vitamin Deficiency,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Light stretching
Dry Skin,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Regular exercise
Hair Loss,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Breathing exercises
Headache,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Steam inhalation
Brittle Nails,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Breathing exercises
Stomach Pain,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Cardio exercises
Rash,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Rest for 2-3 days
Dizziness,Heart Problem,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Breathing exercises
Knee Pain,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Strength training
Swelling,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Steam inhalation
Heart Palpitations,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Strength training
Anxiety,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Physiotherapy
Fever,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Light stretching
Shortness of Breath,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Cardio exercises
Night Sweats,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Muscle relaxation
Back Pain,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Steam inhalation
Skin Itching,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Massage therapy
Joint Pain,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Aerobic workouts
Eye Irritation,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Light walking
Lightheadedness,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Regular exercise
Low Blood Sugar,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Light walking
Fatigue,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Massage therapy
Muscle Cramps,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Rest for 2-3 days
Swelling,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Breathing exercises
Rash,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Light walking
Cold Hands,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Eye exercises
Frequent Urination,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Physiotherapy
Headache,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Light walking
Low Blood Sugar,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Light walking
Slow Healing Wounds,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Cardio exercises
Chest Pain,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Dietary adjustments
Headache,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Light walking
Headache,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Strength training
Weakness,Vitamin Deficiency,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Aerobic workouts
Cough,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Light stretching
Anxiety,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Cardio exercises
Fever,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Dietary adjustments
Numbness,Vitamin Deficiency,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Aerobic workouts
Dizziness,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Cardio exercises
Back Pain,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Massage therapy
Dry Skin,Arthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Strength training
Nosebleeds,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Muscle relaxation
Fever,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Light stretching
Tingling Sensation,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Aerobic workouts
Rash,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Muscle relaxation
Muscle Cramps,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Massage therapy
Cold Hands,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Cardio exercises
Headache,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Regular exercise
Headache,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Aerobic workouts
Chest Pain,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Dietary adjustments
Chest Pain,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Light stretching
Back Pain,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Eye exercises
Vomiting,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Rest for 2-3 days
Rash,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Physiotherapy
Weakness,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Massage therapy
Knee Pain,Anemia,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Breathing exercises
Frequent Urination,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Physiotherapy
Cough,Vitamin Deficiency,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Cardio exercises
Headache,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Massage therapy
High Blood Pressure,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Steam inhalation
Depression,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Regular exercise
Blurred Vision,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Yoga & meditation
Nosebleeds,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Regular exercise
Stomach Pain,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Steam inhalation
Brittle Nails,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Breathing exercises
Nosebleeds,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Breathing exercises
Sore Throat,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Breathing exercises
Dark Urine,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Regular exercise
Numbness,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Dietary adjustments
Swollen Lymph Nodes,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Light walking
Fatigue,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Light walking
Chest Pain,Arthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Dietary adjustments
Weight Loss,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Massage therapy
High Blood Pressure,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Physiotherapy
Slow Healing Wounds,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Physiotherapy
Brittle Nails,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Massage therapy
Dry Skin,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Regular exercise
Constipation,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Aerobic workouts
Runny Nose,Heart Problem,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Eye exercises
Frequent Urination,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Breathing exercises
Memory Loss,Vitamin Deficiency,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Light walking
Anxiety,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Cardio exercises
Tingling Sensation,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Eye exercises
Memory Loss,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Physiotherapy
Muscle Cramps,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Regular exercise
Weight Gain,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Rest for 2-3 days
Swelling,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Light walking
Skin Itching,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Dietary adjustments
Runny Nose,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Eye exercises
Muscle Cramps,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Dietary adjustments
Muscle Cramps,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Physiotherapy
Blurred Vision,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Breathing exercises
Hair Loss,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Light walking
Slow Healing Wounds,Heart Problem,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Rest for 2-3 days
Brittle Nails,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Dietary adjustments
Depression,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Light stretching
Shortness of Breath,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Massage therapy
Knee Pain,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Yoga & meditation
Hair Loss,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Physiotherapy
Weight Gain,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Strength training
High Blood Pressure,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Breathing exercises
Knee Pain,Arthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Yoga & meditation
Dizziness,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Dietary adjustments
Depression,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Breathing exercises
Slow Healing Wounds,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Steam inhalation
Cough,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Breathing exercises
Ear Pain,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Massage therapy
Nausea,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Aerobic workouts
Insomnia,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Yoga & meditation
Insomnia,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Light walking
Back Pain,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Dietary adjustments
Nausea,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Steam inhalation
Memory Loss,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Breathing exercises
Stomach Pain,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Massage therapy
Sore Throat,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Yoga & meditation
Nausea,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Rest for 2-3 days
Cough,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Aerobic workouts
Low Blood Sugar,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Dietary adjustments
Vomiting,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Strength training
Frequent Urination,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Aerobic workouts
Insomnia,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Regular exercise
Stomach Pain,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Massage therapy
Brittle Nails,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Rest for 2-3 days
Weakness,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Massage therapy
Swollen Lymph Nodes,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Rest for 2-3 days
Dizziness,Arthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Yoga & meditation
Headache,Arthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Physiotherapy
Muscle Cramps,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Dietary adjustments
Heart Palpitations,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Eye exercises
Weight Loss,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Cardio exercises
Constipation,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Light walking
Fatigue,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Regular exercise
Back Pain,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Massage therapy
Diarrhea,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Eye exercises
Runny Nose,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Massage therapy
Skin Itching,Anemia,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Physiotherapy
Skin Itching,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Aerobic workouts
Night Sweats,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Strength training
Rash,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Cardio exercises
Back Pain,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Aerobic workouts
Dry Skin,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Light stretching
Lightheadedness,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Regular exercise
Nausea,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Light walking
Constipation,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Rest for 2-3 days
Dizziness,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Yoga & meditation
Joint Pain,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Strength training
Low Blood Sugar,Arthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Steam inhalation
Skin Itching,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Eye exercises
Slow Healing Wounds,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Steam inhalation
Brittle Nails,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Muscle relaxation
Rash,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Cardio exercises
Muscle Cramps,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Physiotherapy
Dark Urine,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Breathing exercises
Headache,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Massage therapy
Fatigue,Arthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Rest for 2-3 days
Stomach Pain,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Massage therapy
Low Blood Sugar,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Eye exercises
Ear Pain,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Breathing exercises
Fatigue,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Regular exercise
Heart Palpitations,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Massage therapy
Rash,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Steam inhalation
Low Blood Sugar,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Cardio exercises
Numbness,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Yoga & meditation
Anxiety,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Strength training
Stomach Pain,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Eye exercises
Night Sweats,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Strength training
Constipation,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Dietary adjustments
Hair Loss,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Light stretching
Dry Skin,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Breathing exercises
Skin Itching,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Muscle relaxation
Constipation,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Strength training
Lightheadedness,Vitamin Deficiency,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Eye exercises
Depression,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Cardio exercises
Blurred Vision,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Cardio exercises
Swelling,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Rest for 2-3 days
Night Sweats,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Massage therapy
Weight Gain,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Rest for 2-3 days
Skin Itching,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Rest for 2-3 days
Dizziness,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Muscle relaxation
Joint Pain,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Dietary adjustments
Stomach Pain,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Aerobic workouts
Frequent Urination,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Rest for 2-3 days
Weight Loss,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Dietary adjustments
Weight Loss,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Dietary adjustments
Heart Palpitations,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Physiotherapy
Knee Pain,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Physiotherapy
Constipation,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Eye exercises
Fatigue,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Eye exercises
Depression,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Yoga & meditation
Night Sweats,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Yoga & meditation
Constipation,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Massage therapy
Weakness,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Steam inhalation
Low Blood Sugar,Vitamin Deficiency,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Muscle relaxation
Nosebleeds,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Aerobic workouts
Constipation,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Rest for 2-3 days
Brittle Nails,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Regular exercise
Ear Pain,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Muscle relaxation
Headache,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Rest for 2-3 days
High Blood Pressure,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Light stretching
Shortness of Breath,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Muscle relaxation
Nausea,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Physiotherapy
Back Pain,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Light stretching
Swelling,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Light stretching
Rash,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Massage therapy
Diarrhea,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Breathing exercises
Weakness,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Light stretching
Diarrhea,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Rest for 2-3 days
Weakness,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Steam inhalation
Numbness,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Yoga & meditation
Heart Palpitations,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Rest for 2-3 days
Fatigue,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Light stretching
Swollen Lymph Nodes,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Eye exercises
Fatigue,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Steam inhalation
